tag,pde,n_feat,model,seed,source,t,centroid_model,hf_model,centroid_exact,hf_exact,centroid_err,abs_err
MS_burgers_n4_gaaf_s777_r1,burgers,4,gaaf,777,MS,0.5,0.6101620849845841,9.775558529475062e-07,0.610342190741679,9.955402581416152e-07,-0.00018010575709481724,0.00018010575709481724
MS_burgers_n4_gaaf_s777_r1,burgers,4,gaaf,777,MS,0.75,0.6157113117290806,1.0637558478961146e-06,0.6155906794316344,9.338412206059664e-07,0.0001206322974461882,0.0001206322974461882
MS_burgers_n4_gaaf_s777_r1,burgers,4,gaaf,777,MS,1.0,0.6011716696280412,8.900479784223469e-07,0.601216735606354,9.634290999399992e-07,-4.5065978312774924e-05,4.5065978312774924e-05
MS_burgers_n4_twin_s1234,burgers,4,twin,1234,MS,0.25,0.5523976244400799,1.6455162629845558e-06,0.5527385042446051,1.40434210757614e-06,-0.00034087980452524036,0.00034087980452524036
MS_burgers_n4_twin_s1234,burgers,4,twin,1234,MS,0.5,0.610019564126681,8.574047490740059e-07,0.610342190741679,9.955402581416152e-07,-0.000322626614997934,0.000322626614997934
MS_burgers_n4_twin_s1234,burgers,4,twin,1234,MS,0.75,0.6158172041627114,6.044252712453904e-07,0.6155906794316344,9.338412206059664e-07,0.00022652473107698246,0.00022652473107698246
MS_burgers_n4_twin_s1234,burgers,4,twin,1234,MS,1.0,0.6012358505658927,1.990171144388409e-06,0.601216735606354,9.634290999399992e-07,1.9114959538657494e-05,1.9114959538657494e-05
MS_burgers_n4_twin_s2025,burgers,4,twin,2025,MS,0.25,0.552505575677282,3.9633910591799165e-06,0.5527385042446051,1.40434210757614e-06,-0.00023292856732315403,0.00023292856732315403
MS_burgers_n4_twin_s2025,burgers,4,twin,2025,MS,0.5,0.6076743843686547,4.2100019871826856e-06,0.610342190741679,9.955402581416152e-07,-0.0026678063730242174,0.0026678063730242174
MS_burgers_n4_twin_s2025,burgers,4,twin,2025,MS,0.75,0.6146539231069372,1.0389364307125538e-07,0.6155906794316344,9.338412206059664e-07,-0.0009367563246971411,0.0009367563246971411
MS_burgers_n4_twin_s2025,burgers,4,twin,2025,MS,1.0,0.5985419208333341,9.143988771763646e-06,0.601216735606354,9.634290999399992e-07,-0.0026748147730198957,0.0026748147730198957
MS_burgers_n4_twin_s777,burgers,4,twin,777,MS,0.25,0.54842204362303,1.5441646919547265e-06,0.5527385042446051,1.40434210757614e-06,-0.004316460621575091,0.004316460621575091
MS_burgers_n4_twin_s777,burgers,4,twin,777,MS,0.5,0.6011598101955096,4.573515020004199e-06,0.610342190741679,9.955402581416152e-07,-0.009182380546169377,0.009182380546169377
MS_burgers_n4_twin_s777,burgers,4,twin,777,MS,0.75,0.6200777402847094,3.082689023273527e-06,0.6155906794316344,9.338412206059664e-07,0.004487060853075042,0.004487060853075042
MS_burgers_n4_twin_s777,burgers,4,twin,777,MS,1.0,0.6079563950624493,1.0833466075908363e-07,0.601216735606354,9.634290999399992e-07,0.006739659456095226,0.006739659456095226
MS_burgers_n5_gaaf_s1234,burgers,5,gaaf,1234,MS,0.25,0.5525757554073221,1.4894121186603064e-06,0.5527385042446051,1.40434210757614e-06,-0.00016274883728306655,0.00016274883728306655
MS_burgers_n5_gaaf_s1234,burgers,5,gaaf,1234,MS,0.5,0.6102776889057544,1.035000438611659e-06,0.610342190741679,9.955402581416152e-07,-6.450183592454639e-05,6.450183592454639e-05
MS_burgers_n5_gaaf_s1234,burgers,5,gaaf,1234,MS,0.75,0.6158754545042328,7.581368008241007e-07,0.6155906794316344,9.338412206059664e-07,0.00028477507259838664,0.00028477507259838664
MS_burgers_n5_gaaf_s1234,burgers,5,gaaf,1234,MS,1.0,0.6011409206583702,8.359792170228644e-07,0.601216735606354,9.634290999399992e-07,-7.581494798380994e-05,7.581494798380994e-05
MS_burgers_n5_gaaf_s2025,burgers,5,gaaf,2025,MS,0.25,0.552676685083829,1.4887639333931183e-06,0.5527385042446051,1.40434210757614e-06,-6.181916077618865e-05,6.181916077618865e-05
MS_burgers_n5_gaaf_s2025,burgers,5,gaaf,2025,MS,0.5,0.6103222314881294,8.838790141264377e-07,0.610342190741679,9.955402581416152e-07,-1.9959253549584055e-05,1.9959253549584055e-05
MS_burgers_n5_gaaf_s2025,burgers,5,gaaf,2025,MS,0.75,0.6158517228375857,9.5097992994065e-07,0.6155906794316344,9.338412206059664e-07,0.00026104340595134445,0.00026104340595134445
MS_burgers_n5_gaaf_s2025,burgers,5,gaaf,2025,MS,1.0,0.6012030071961387,1.984921686566985e-06,0.601216735606354,9.634290999399992e-07,-1.3728410215296805e-05,1.3728410215296805e-05
MS_burgers_n5_gaaf_s777,burgers,5,gaaf,777,MS,0.25,0.5528223218842501,1.079457333046502e-06,0.5527385042446051,1.40434210757614e-06,8.381763964493416e-05,8.381763964493416e-05
MS_burgers_n5_gaaf_s777,burgers,5,gaaf,777,MS,0.5,0.610553298417847,1.1173835940517286e-06,0.610342190741679,9.955402581416152e-07,0.00021110767616805415,0.00021110767616805415
MS_burgers_n5_gaaf_s777,burgers,5,gaaf,777,MS,0.75,0.6159201809564135,9.638432597538372e-07,0.6155906794316344,9.338412206059664e-07,0.0003295015247791744,0.0003295015247791744
MS_burgers_n5_gaaf_s777,burgers,5,gaaf,777,MS,1.0,0.6018969531295916,2.591985875810491e-07,0.601216735606354,9.634290999399992e-07,0.0006802175232375474,0.0006802175232375474
MS_burgers_n5_twin_s1234,burgers,5,twin,1234,MS,0.25,0.5523643928960447,1.373136420357782e-06,0.5527385042446051,1.40434210757614e-06,-0.00037411134856046857,0.00037411134856046857
MS_burgers_n5_twin_s1234,burgers,5,twin,1234,MS,0.5,0.6099393310560108,1.0672838224531204e-06,0.610342190741679,9.955402581416152e-07,-0.00040285968566811103,0.00040285968566811103
MS_burgers_n5_twin_s1234,burgers,5,twin,1234,MS,0.75,0.6155662673428451,7.435524596600048e-07,0.6155906794316344,9.338412206059664e-07,-2.4412088789227404e-05,2.4412088789227404e-05
MS_burgers_n5_twin_s1234,burgers,5,twin,1234,MS,1.0,0.6007251500952867,2.1013831685539492e-06,0.601216735606354,9.634290999399992e-07,-0.0004915855110673162,0.0004915855110673162
MS_burgers_n5_twin_s2025,burgers,5,twin,2025,MS,0.25,0.5524800646935826,1.502159632351082e-06,0.5527385042446051,1.40434210757614e-06,-0.0002584395510225601,0.0002584395510225601
MS_burgers_n5_twin_s2025,burgers,5,twin,2025,MS,0.5,0.6103190775478946,9.672440131280417e-07,0.610342190741679,9.955402581416152e-07,-2.3113193784340957e-05,2.3113193784340957e-05
MS_burgers_n5_twin_s2025,burgers,5,twin,2025,MS,0.75,0.6157722968114858,7.811799761086371e-07,0.6155906794316344,9.338412206059664e-07,0.00018161737985145088,0.00018161737985145088
MS_burgers_n5_twin_s2025,burgers,5,twin,2025,MS,1.0,0.6013909467536788,2.0738848369608367e-06,0.601216735606354,9.634290999399992e-07,0.0001742111473247432,0.0001742111473247432
MS_burgers_n5_twin_s777,burgers,5,twin,777,MS,0.25,0.5523914687715636,1.4612799541240262e-06,0.5527385042446051,1.40434210757614e-06,-0.0003470354730414904,0.0003470354730414904
MS_burgers_n5_twin_s777,burgers,5,twin,777,MS,0.5,0.6100142055908793,9.275098966810763e-07,0.610342190741679,9.955402581416152e-07,-0.00032798515079968116,0.00032798515079968116
