tag,path,family,nu,pde,model,n_feat,seed,retry,note,dead,n_steps,loss_first,loss_final,loss_min,mse_u_final,mse_f_final,wall_s,L2,params
MS_burgers_n3_gaaf_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_gaaf_s1234.pt,MS,0.05,burgers,gaaf,3,1234,False,,False,1005,2.4243688583374023,0.37665683031082153,0.37665683031082153,0.01933426782488823,0.18331414461135864,nan,nan,nan
MS_burgers_n3_gaaf_s1234_r1,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_gaaf_s1234_r1.pt,MS,0.05,burgers,gaaf,3,1234,True,,False,1005,2.374971389770508,0.37628960609436035,0.37628960609436035,0.019127143546938896,0.18501818180084229,nan,0.3281637,1801.0
MS_burgers_n3_gaaf_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_gaaf_s2025.pt,MS,0.05,burgers,gaaf,3,2025,False,,False,1005,2.0175650119781494,2.1518206267501228e-05,2.1518206267501228e-05,2.247790860110399e-07,1.9270415577921085e-05,nan,0.001220411,1801.0
MS_burgers_n3_gaaf_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_gaaf_s777.pt,MS,0.05,burgers,gaaf,3,777,False,,False,1005,3.430387020111084,2.7182317353435792e-05,2.7182317353435792e-05,1.588738030022796e-07,2.5593579266569577e-05,nan,0.001530173,1801.0
MS_burgers_n3_twin_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_twin_s1234.pt,MS,0.05,burgers,twin,3,1234,False,,False,1005,2.4243688583374023,0.37738946080207825,0.37738946080207825,0.019312314689159393,0.18426631391048431,nan,0.3421912,1801.0
MS_burgers_n3_twin_s1234_r1,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_twin_s1234_r1.pt,MS,0.05,burgers,twin,3,1234,True,,False,1005,2.374971389770508,0.0025222962722182274,0.0025222962722182274,2.7311241865390912e-05,0.0022491838317364454,nan,0.01360008,1801.0
MS_burgers_n3_twin_s2025,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_twin_s2025.pt,MS,0.05,burgers,twin,3,2025,False,,False,1005,2.0175650119781494,1.7657726857578382e-05,1.7657726857578382e-05,1.8609748053677322e-07,1.579675154061988e-05,nan,0.0008756495,1801.0
MS_burgers_n3_twin_s777,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n3_twin_s777.pt,MS,0.05,burgers,twin,3,777,False,,False,1005,3.430387020111084,4.323907705838792e-05,4.323907705838792e-05,5.150807851350692e-07,3.808827023021877e-05,nan,0.002119294,1801.0
MS_burgers_n4_gaaf_s1234,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s1234.pt,MS,0.05,burgers,gaaf,4,1234,False,,False,1005,2.5203793048858643,0.37815046310424805,0.37815046310424805,0.01943560689687729,0.18379440903663635,nan,nan,nan
MS_burgers_n4_gaaf_s1234_r1,WISER Results/Phase 2/Djabon Phase 2/Additionnal computations/GAAF-PINN/qapinn_runs_gaaf/checkpoints/MS_burgers_n4_gaaf_s1234_r1.pt,MS,0.05,burgers,gaaf,4,1234,True,,False,1005,2.503690242767334,2.2158654246595688e-05,2.2158654246595688e-05,2.0659059885019815e-07,2.0092747945454903e-05,nan,0.0009464618,1827.0
