ckaLL_L0_front__L1,ckaLL_L0_front__L2,ckaLL_L0_front__L3,ckaLL_L0_front__L4,ckaLL_L0_front__L5,ckaLL_L0_quantum__L1,ckaLL_L0_quantum__L2,ckaLL_L0_quantum__L3,ckaLL_L0_quantum__L4,ckaLL_L0_quantum__L5,ckaLL_L1__L2,ckaLL_L1__L3,ckaLL_L1__L4,ckaLL_L1__L5,ckaLL_L2__L3,ckaLL_L2__L4,ckaLL_L2__L5,ckaLL_L3__L4,ckaLL_L3__L5,ckaLL_L4__L5,cka_L0_front_out,cka_L0_quantum_out,cka_L1_out,cka_L2_out,cka_L3_out,cka_L4_out,cka_L5_out,in_primary,model,n_feat,nu,pde,retry,seed,t,tag
0.9961583571717357,0.978480375076992,0.961819684264623,0.9485332380841747,0.9068473278948788,,,,,,0.9920325020187102,0.9787140937195438,0.9650762707396037,0.9326677650289757,0.9955470525544943,0.9853650166486656,0.9665220377114097,0.9948162797971694,0.9836661954507481,0.9919639741908145,0.4899326720942205,,0.5468414833783514,0.6268758953132371,0.6711930757819741,0.7014526295617803,0.7754579644360481,True,twin,5,0.01/pi,burgers,False,1234,1.0,MS_hard_burgers_n5_twin_s1234
0.9960540364109525,0.9627321553608944,0.9693854389011354,0.9504979202459234,0.9756225739312698,,,,,,0.9808209907816982,0.984436917616335,0.9671455685032847,0.9857277655302261,0.9881558015062847,0.9588090318089877,0.970869123523387,0.9820591542282524,0.9888844201667842,0.9922427062161965,0.7699148790988054,,0.8147088583888622,0.8823510282865906,0.8483493017632968,0.8430515198755535,0.8154853303078349,True,twin,5,0.01/pi,burgers,False,2025,0.0,MS_hard_burgers_n5_twin_s2025
0.996125732726698,0.9627206857401326,0.9697387231974072,0.9493231145558682,0.9743020840930492,,,,,,0.98037056538642,0.9850314973145902,0.9674941678388106,0.9860744132373823,0.9897713788623225,0.9631717029511283,0.9750751239024159,0.9840275035991995,0.9910241276789017,0.9925499798820497,0.7422760606700206,,0.7894116453717818,0.8712579197003116,0.8347504530721431,0.833225745229652,0.8036400269669898,True,twin,5,0.01/pi,burgers,False,2025,0.04,MS_hard_burgers_n5_twin_s2025
0.9961995687667385,0.9628049051606884,0.970059402846444,0.9484578781334384,0.9724348854525451,,,,,,0.979952803079194,0.9852610687729066,0.9675747880439601,0.9854511765762285,0.9911817178478992,0.968173213451943,0.9790076925955895,0.9862702450313905,0.992833506445977,0.9926940710181483,0.7136224589286749,,0.7621428062933838,0.8572116591290279,0.8197478304582441,0.8239033830892679,0.7930025937510444,True,twin,5,0.01/pi,burgers,False,2025,0.08,MS_hard_burgers_n5_twin_s2025
0.996274390104736,0.9629987397710581,0.9704229170427029,0.9476575628973245,0.9698778195560712,,,,,,0.9795945464852674,0.9851837179278632,0.9671254054381105,0.9836563230052106,0.9923665405976505,0.9732563419064467,0.9822152014212256,0.9883904117302801,0.9940813408039187,0.9927441695992495,0.68382621581903,,0.732898572434867,0.8398321996036817,0.8031814308849707,0.8147976203275425,0.7829393838052741,True,twin,5,0.01/pi,burgers,False,2025,0.12,MS_hard_burgers_n5_twin_s2025
0.9963487785590907,0.9633098381374929,0.9708396302014649,0.9467388032048328,0.9665005226014846,,,,,,0.979320725406911,0.9848396023356706,0.9659931940188293,0.9805694625697138,0.9933265655181275,0.9778885970698978,0.9843365961496698,0.9900957929685376,0.9946471537001021,0.9928171284048386,0.6529686521932055,,0.7018736369492926,0.8188723600599095,0.7849348326723208,0.8055627557851361,0.773219335180141,True,twin,5,0.01/pi,burgers,False,2025,0.16,MS_hard_burgers_n5_twin_s2025
0.9964210103750186,0.9637379193843781,0.9712188194731858,0.9455651899300117,0.9621990212700953,,,,,,0.9791519739064423,0.9842260349364818,0.9641283492131553,0.9761486118761111,0.9940427412612843,0.9816060285755738,0.9850796888489527,0.9912339529366347,0.9944352419677192,0.9930077328699718,0.6212603819331161,,0.6694035100716998,0.7942383145631489,0.7648549953400279,0.7957487119104283,0.7637543280784846,True,twin,5,0.01/pi,burgers,False,2025,0.2,MS_hard_burgers_n5_twin_s2025
0.9964890234958923,0.9642745916209892,0.9714058522317652,0.9440287499288544,0.9569329086909272,,,,,,0.9791032568118174,0.9833305639362983,0.9615648135240044,0.9704541170648859,0.9944709876943055,0.9840398234833188,0.9842415623604396,0.9917827399488554,0.993351519121785,0.9933244669820955,0.5889895837540017,,0.6359121877774031,0.7659826702949334,0.74269550115429,0.784691662745229,0.7544107459191619,True,twin,5,0.01/pi,burgers,False,2025,0.24,MS_hard_burgers_n5_twin_s2025
0.9965504219479021,0.9649046562726249,0.9712938040538655,0.9420668525902914,0.9508122338612964,,,,,,0.9791835356196975,0.9822064534622982,0.9584277707268605,0.9637244703385694,0.9945933613608552,0.9849806167636739,0.9818069214566509,0.9917818064194535,0.9913355242739507,0.9936396708004714,0.5565428952085103,,0.6019204225733462,0.7343540589975035,0.7181482623320571,0.7714578829297519,0.7449110937002212,True,twin,5,0.01/pi,burgers,False,2025,0.28,MS_hard_burgers_n5_twin_s2025
0.9966025145249595,0.9656086541742218,0.9709114849677197,0.9397562002540865,0.9442393270679549,,,,,,0.9793964139188379,0.9810047090587787,0.9550034959321554,0.9565100761339274,0.994469327899267,0.9845262105052474,0.978129884768019,0.9912739864638724,0.9884635660185848,0.9937316684002719,0.5248186741862501,,0.5684755197622182,0.7003831822685608,0.6913295921202898,0.755311665047775,0.7349742824853902,True,twin,5,0.01/pi,burgers,False,2025,0.32,MS_hard_burgers_n5_twin_s2025
0.9966424055889643,0.9663660208964527,0.9703940877275533,0.9374536901420695,0.9380628180698599,,,,,,0.9797412890134848,0.9799129106751415,0.9518267755889518,0.9498099493678188,0.9942198269823254,0.9832321601058129,0.9741164213688889,0.9904107599336449,0.9851941876531327,0.9934942744231623,0.4961542336947262,,0.5381697892573774,0.6672862506563845,0.6642709806085152,0.7372435293155776,0.7249484491350441,True,twin,5,0.01/pi,burgers,False,2025,0.36,MS_hard_burgers_n5_twin_s2025
0.9966671399346383,0.9671580592458867,0.9698829300148357,0.9356775568463165,0.9333389606645802,,,,,,0.9802145010471548,0.9790692160604726,0.9495055452580129,0.9447877889743035,0.9939657844613038,0.9819115934597636,0.9709698466828739,0.9895363681441571,0.9823945645419925,0.9931085359907961,0.47359473215710685,,0.5143747612797565,0.639648536521894,0.6408493502170097,0.7203535120586876,0.7159222648344609,True,twin,5,0.01/pi,burgers,False,2025,0.4,MS_hard_burgers_n5_twin_s2025
0.9966739030852582,0.9679700565956821,0.96945971324621,0.9346726351572786,0.9304171829637072,,,,,,0.9808100299083564,0.9785294752507799,0.9482800501438461,0.9418164450752158,0.9937844039297401,0.9810580445832704,0.969202053516712,0.9889202539193096,0.980558174194832,0.992839375071204,0.4580843041533915,,0.49818958771548594,0.6194769675000582,0.6232327339857593,0.7070054923073948,0.7086622515280215,True,twin,5,0.01/pi,burgers,False,2025,0.44,MS_hard_burgers_n5_twin_s2025
0.99666027325649,0.9687921746712183,0.9691433127498297,0.9343156065311092,0.9288051070176624,,,,,,0.9815195730661697,0.9782845079273711,0.9479710041608043,0.9403638489451878,0.993703261252668,0.9806750750577051,0.968417337515721,0.9885647237531123,0.9794322319360957,0.9927640345056089,0.4481368929243488,,0.48806048457611856,0.6054177372700733,0.6106205639737244,0.6972570831342332,0.7031864616180304,True,twin,5,0.01/pi,burgers,False,2025,0.48,MS_hard_burgers_n5_twin_s2025
0.9966245006081639,0.969619034239175,0.9689157507377456,0.9343911207501497,0.9279436881671096,,,,,,0.9823320817378796,0.9782907585039056,0.9482993706733021,0.9398172643506293,0.9937156590160342,0.9805907011583632,0.9681036189764707,0.9883610550222325,0.978622857132851,0.9928299685280679,0.4417768408127507,,0.4818702458647709,0.5952386983517451,0.6012722813617734,0.6900813160045374,0.6990973442428597,True,twin,5,0.01/pi,burgers,False,2025,0.52,MS_hard_burgers_n5_twin_s2025
0.996565798793663,0.9704484846242187,0.9687469512365536,0.9347461544318704,0.9275069716962927,,,,,,0.9832331928018755,0.9784933559256811,0.9490580985219096,0.9398052500492088,0.9937987280541913,0.9806680063468023,0.9679689945661307,0.988229979648973,0.9779113835944465,0.9929679544013249,0.437606965046568,,0.47810240404347026,0.5873224061785162,0.5938947012672705,0.6845190484195117,0.6959756954297557,True,twin,5,0.01/pi,burgers,False,2025,0.56,MS_hard_burgers_n5_twin_s2025
0.9964846038710915,0.971279940971028,0.9686088758191023,0.9352887740904694,0.9273329419906088,,,,,,0.9842048894756203,0.9788384059836637,0.9501115791263537,0.9401297489334216,0.9939259749846623,0.9808291421078675,0.967883308235596,0.9881368608650533,0.9772146021564826,0.9931278203776425,0.4348240682324873,,0.47586865443623494,0.580758858475788,0.5877693601890932,0.6799557817107609,0.6935290109163026,True,twin,5,0.01/pi,burgers,False,2025,0.6,MS_hard_burgers_n5_twin_s2025
0.9963827681821332,0.9721128959670403,0.9684808265210939,0.9359589776288597,0.9273388055912181,,,,,,0.9852257566853538,0.9792778483967698,0.9513632995963718,0.9406781380296528,0.9940736854591624,0.9810312333105364,0.9677938308881836,0.988070438049947,0.9765104158847664,0.9932792321511221,0.43298791955335303,,0.4746653948034957,0.5750769888793056,0.5825289267316569,0.6760467861662877,0.691578357940123,True,twin,5,0.01/pi,burgers,False,2025,0.64,MS_hard_burgers_n5_twin_s2025
0.996263650810991,0.972945915046425,0.9683498255116113,0.9367121704748406,0.9274777536855422,,,,,,0.9862719050532225,0.9797704555564416,0.9527368406246985,0.941377617887581,0.9942231787552843,0.9812485449247356,0.9676813475885216,0.988027482870041,0.9757986924686086,0.9934055432474432,0.43184778107160426,,0.4741900213458956,0.5700329360869648,0.5779774698522794,0.6726059816875481,0.6900133007981233,True,twin,5,0.01/pi,burgers,False,2025,0.68,MS_hard_burgers_n5_twin_s2025
0.9961320749727522,0.9737761460769526,0.9682088941130961,0.9375127302372438,0.9277196253271273,,,,,,0.9873183553202196,0.9802812319626578,0.9541682241873601,0.9421748552628837,0.9943608719344135,0.9814640657339874,0.9675407398210604,0.9880062335739019,0.9750851192211288,0.9934984058623517,0.43124666745206564,,0.47424052963983243,0.565493071629918,0.573994897549317,0.6695302604394896,0.6887592432265178,True,twin,5,0.01/pi,burgers,False,2025,0.72,MS_hard_burgers_n5_twin_s2025
0.9959941348369094,0.9745993893669198,0.9680549010059835,0.9383318853983883,0.928042317374267,,,,,,0.9883407237449958,0.9807805471626341,0.9556034657108687,0.9430272537628596,0.9944775504584662,0.9816660268284415,0.9673726142200328,0.9880045057467184,0.9743753911791971,0.9935542360687853,0.431074326436519,,0.4746672877073029,0.5613765637376523,0.5704941726967558,0.6667568927143224,0.6877601451375043,True,twin,5,0.01/pi,burgers,False,2025,0.76,MS_hard_burgers_n5_twin_s2025
0.9958568635500298,0.9754104596256686,0.9678866657366431,0.9391466122398081,0.9284277046127641,,,,,,0.9893167985592901,0.9812433926352805,0.9569976116887994,0.9438991440425266,0.9945674028300902,0.9818462716515598,0.9671795699614248,0.9880194909730855,0.9736733820400741,0.9935720719023934,0.431244047332505,,0.4753501408436297,0.5576276334054696,0.5674033003828877,0.6642412319200801,0.6869697991669046,True,twin,5,0.01/pi,burgers,False,2025,0.8,MS_hard_burgers_n5_twin_s2025
0.9957277819436776,0.9762036762071683,0.9677035921150929,0.9399387122629689,0.9288596194267376,,,,,,0.9902277926573366,0.9816489096436377,0.9583141099571506,0.9447601184353963,0.9946271369258154,0.9819993313323113,0.9669645114597807,0.9880480362265713,0.9729808476805323,0.9935523216514461,0.4316813867440252,,0.47618775926181683,0.5542021348763073,0.5646582518484309,0.6619457668246741,0.6863477417167244,True,twin,5,0.01/pi,burgers,False,2025,0.84,MS_hard_burgers_n5_twin_s2025
